KO	L1	L2	L3	L4
K01756	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01779	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01914	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01915	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01939	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01940	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01948	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01953	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K01954	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K03334	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K05597	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K07250	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K09758	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K11358	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K11540	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K11541	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K13524	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K13566	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K13821	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K14260	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K14454	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K14681	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K15371	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K00003	L1_Amino acid utilization biosynthesis metabolism	L2_Alanine, aspartate and glutamate metabolism (and asparagine)	L3_NONE	L4_NONE
K00001	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K00121	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K04072	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K11440	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13951	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13952	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13953	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13954	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13980	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K04073	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K00132	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K00640	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K13598	L1_Fermentation	L2_Acetylene degradation	L3_NONE	L4_NONE
K00232	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K00625	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K14472	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K01026	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K01713	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K03366	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K00004	L1_Fermentation	L2_Acetyl-coA fermentation to butyrate II (clostridium)	L3_NONE	L4_NONE
K01905	L1_Homoacetogenesis	L2_Acetate formation from acetyl-coA II	L3_NONE	L4_NONE
K00640	L1_Homoacetogenesis	L2_Acetate formation from acetyl-coA I	L3_NONE	L4_NONE
K13598	L1_Homoacetogenesis	L2_Acetate formation from acetyl-coA I	L3_NONE	L4_NONE
K15905	L1_Nitrogen cycle	L2_Nitrification	L3_Nitrite to nitrate	L4_NONE
K15906	L1_Nitrogen cycle	L2_Nitrification	L3_Nitrite to nitrate	L4_NONE
K00710	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00713	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K02840	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K02844	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K02852	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03275	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03276	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03669	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03814	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03844	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03846	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03848	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03849	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03850	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03854	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03867	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03877	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K04478	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05284	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05286	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05366	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05367	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05529	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05530	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05531	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05532	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05533	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05534	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05535	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05536	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05538	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K06119	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07272	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07542	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07553	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07632	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07635	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07819	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07820	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07969	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07970	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07971	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K08098	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K08251	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09653	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09654	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09655	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09661	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09662	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09663	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09664	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09665	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09666	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09667	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K09905	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10211	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10812	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10967	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10968	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10969	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10970	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K10971	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K11000	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K11257	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K11718	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12245	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12338	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12551	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12582	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12583	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12933	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12937	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12938	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12983	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12984	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12985	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12986	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12987	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12988	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12989	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12990	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12991	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12992	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12993	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12994	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12995	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12996	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12997	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12998	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12999	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13000	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13001	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13002	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13003	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13004	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13005	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13007	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13078	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13235	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13379	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13493	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13496	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13550	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13556	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13657	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13658	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13659	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13660	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13666	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13667	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13668	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13669	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13671	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13672	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13673	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13675	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13678	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13681	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13682	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13688	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13689	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13690	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13691	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13693	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14335	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14337	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14339	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14340	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14368	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14375	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14412	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14413	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14434	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14464	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K14596	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00744	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07252	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00717	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07967	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00778	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07968	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00779	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07966	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K12248	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00737	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00736	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K01231	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K01230	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K13748	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00738	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K05546	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K01228	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00732	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K07151	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K00729	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03843	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
K03842	L1_Saccharide and derivated synthesis	L2_Polysaccharide biosynthesis and assembly of cell surface structure	L3_N-glycan biosynthesis	L4_NONE
